Date,Form,Opposition,Season,Venue,Previous_Match,UEFA,Outcome
2/1/2020,Top,Medium,Middle,Home,1,Active,Win
11/1/2020,Top,Tough,Middle,Away,1,Active,Win
19/1/2020,Top,Tough,Middle,Home,1,Active,Win
23/1/2020,Top,Medium,Middle,Away,1,Active,Win
29/1/2020,Top,Easy,Middle,Away,1,Active,Win
1/2/2020,Top,Medium,Middle,Home,1,Active,Win
15/2/2020,Top,Easy,Middle,Away,1,Active,Win
24/2/2020,Top,Easy,Middle,Home,1,Active,Win
29/2/2020,Top,Easy,Middle,Away,1,Active,No_win
7/3/2020,Top,Easy,Middle,Home,0,Active,Win
21/6/2020,Top,Medium,Middle,Away,1,Inactive,No_win
24/6/2020,Decent,Medium,Late,Home,0,Inactive,Win
2/7/2020,Decent,Tough,Late,Away,1,Inactive,No_win
5/7/2020,Poor,Easy,Late,Home,0,Inactive,Win
8/7/2020,Decent,Easy,Late,Away,1,Inactive,Win
11/7/2020,Decent,Medium,Late,Home,1,Inactive,No_win
15/7/2020,Decent,Tough,Late,Away,0,Inactive,No_win
22/7/2020,Poor,Tough,Late,Home,0,Inactive,Win
26/7/2020,Decent,Easy,Late,Away,1,Inactive,Win
12/9/2020,Top,Medium,Early,Home,1,Active,Win
20/9/2020,Top,Tough,Early,Away,1,Active,Win
28/9/2020,Top,Tough,Early,Home,1,Active,Win
4/10/2020,Decent,Medium,Early,Away,1,Active,No_win
17/10/2020,Decent,Medium,Early,Away,0,Active,No_win
31/10/2020,Decent,Easy,Early,Home,0,Active,Win
8/11/2020,Decent,Tough,Early,Away,1,Active,Win
22/11/2020,Poor,Tough,Early,Home,1,Active,Win
28/11/2020,Decent,Easy,Early,Away,1,Active,No_win
6/12/2020,Decent,Medium,Early,Home,0,Active,Win
13/12/2020,Decent,Easy,Early,Away,1,Active,No_win
16/12/2020,Poor,Tough,Middle,Home,0,Active,No_win
19/12/2020,Decent,Medium,Middle,Away,0,Active,Win
27/12/2020,Decent,Easy,Middle,Home,1,Active,No_win
30/12/2020,Decent,Easy,Middle,Away,0,Active,No_win
4/1/2021,Poor,Easy,Middle,Away,0,Active,No_win
17/1/2021,Poor,Tough,Middle,Home,0,Active,No_win
21/1/2021,Poor,Easy,Middle,Home,0,Active,No_win
28/1/2021,Poor,Tough,Middle,Away,0,Active,Win
31/1/2021,Poor,Tough,Middle,Away,1,Active,Win
3/2/2021,Poor,Easy,Middle,Home,1,Active,No_win
7/2/2021,Poor,Tough,Middle,Home,0,Active,No_win
13/2/2021,Poor,Tough,Middle,Away,0,Active,No_win
20/2/2021,Poor,Medium,Middle,Home,0,Active,No_win
28/2/2021,Poor,Easy,Middle,Away,0,Active,No_win
4/3/2021,Poor,Tough,Middle,Home,0,Active,No_win
7/3/2021,Poor,Easy,Middle,Home,0,Active,No_win
15/3/2021,Poor,Easy,Middle,Away,0,Active,Win
3/4/2021,Poor,Tough,Middle,Away,1,Active,Win
10/4/2021,Decent,Medium,Late,Home,1,Active,Win
19/4/2021,Decent,Medium,Late,Away,1,Inactive,No_win
24/4/2021,Decent,Easy,Late,Home,0,Inactive,No_win
8/5/2021,Decent,Easy,Late,Home,0,Inactive,Win
13/5/2021,Decent,Tough,Late,Away,1,Inactive,Win
16/5/2021,Decent,Easy,Late,Away,1,Inactive,Win
19/5/2021,Decent,Easy,Late,Away,1,Inactive,Win
23/5/2021,Top,Easy,Late,Home,1,Inactive,Win
14/8/2021,Top,Easy,Early,Away,1,Active,Win
21/8/2021,Top,Medium,Early,Home,1,Active,Win
28/8/2021,Top,Tough,Early,Home,1,Active,No_win
12/9/2021,Decent,Easy,Early,Away,0,Active,Win
18/9/2021,Decent,Medium,Early,Home,1,Active,Win
25/9/2021,Top,Medium,Early,Away,1,Active,No_win
3/10/2021,Decent,Tough,Early,Home,0,Active,No_win
16/10/2021,Poor,Easy,Early,Away,0,Active,Win
24/10/2021,Decent,Tough,Early,Away,1,Active,Win
30/10/2021,Decent,Tough,Early,Home,1,Active,No_win
7/11/2021,Poor,Tough,Early,Away,0,Active,No_win
20/11/2021,Poor,Tough,Middle,Home,0,Active,Win
27/11/2021,Decent,Easy,Middle,Home,1,Active,Win
1/12/2021,Decent,Easy,Middle,Away,1,Active,Win
4/12/2021,Decent,Medium,Middle,Away,1,Active,Win
11/12/2021,Top,Medium,Middle,Home,1,Active,Win
16/12/2021,Top,Easy,Middle,Home,1,Active,Win
19/12/2021,Top,Tough,Middle,Away,1,Active,No_win
28/12/2021,Top,Medium,Middle,Away,0,Active,No_win
2/1/2022,Decent,Tough,Middle,Away,0,Active,No_win
16/1/2022,Poor,Easy,Middle,Home,0,Active,Win
23/1/2022,Poor,Medium,Middle,Away,1,Active,Win
10/2/2022,Poor,Medium,Middle,Home,1,Active,Win
13/2/2022,Decent,Easy,Middle,Away,1,Active,Win
19/2/2022,Top,Easy,Middle,Home,1,Active,Win
23/2/2022,Top,Easy,Middle,Home,1,Active,Win
5/3/2022,Top,Tough,Middle,Home,1,Active,Win
12/3/2022,Top,Medium,Middle,Away,1,Active,Win
16/3/2022,Top,Tough,Middle,Away,1,Active,Win
2/4/2022,Top,Easy,Late,Home,1,Active,Win
10/4/2022,Top,Tough,Late,Away,1,Active,No_win
19/4/2022,Top,Tough,Late,Home,0,Active,Win
24/4/2022,Top,Easy,Late,Home,1,Active,Win
30/4/2022,Top,Medium,Late,Away,1,Active,Win
7/5/2022,Top,Tough,Late,Home,1,Active,No_win
10/5/2022,Top,Easy,Late,Away,0,Active,Win
17/5/2022,Top,Easy,Late,Away,1,Active,Win
22/5/2022,Top,Medium,Late,Home,1,Active,Win
